FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
144,EMERGENCY LEAK,3/23/2022 12:00:00 AM,272 S. Collingwood Ave.,On Glencove Rd. side of property,-8472239.637,5321727.276,-8472239.637,5321727.276
145,EMERGENCY LEAK,3/23/2022 12:00:00 AM,1600 Erie Blvd E.,On Cherry St. side of property,-8474020.273,5319429.298,-8474020.273,5319429.298
146,EMERGENCY LEAK,3/23/2022 12:00:00 AM,"234 Paul Ave,  Syracuse,  New York,  13206",PAUL AV 100,-8473913.643,5322620.154,-8473913.643,5322620.154
147,EMERGENCY LEAK,3/18/2022 12:00:00 AM,375 N. Midler Ave,375 N. Midler Ave,-8472057.503,5323490.378,-8472057.503,5323490.378
148,EMERGENCY LEAK,3/17/2022 12:00:00 AM,192 Colby Ave., ,-8471732.59,5323205.618,-8471732.59,5323205.618
149,REPAIR MAIN,3/17/2022 12:00:00 AM,"236 E Onondaga St, Syracuse, New York, 13202",HYDRANT  IN FRONT OF 236 E.ONONDAGA ST,-8476963.148,5318994.851,-8476963.148,5318994.851
150,EMERGENCY LEAK,3/16/2022 12:00:00 AM,Thorden Park,"43.041851, -76.124904",-8474190.319,5318305.659,-8474190.319,5318305.659
151,EMERGENCY LEAK,3/11/2022 12:00:00 AM,"821 Northway St, Syracuse, New York, 13224",FRONT OF PROPERTY--IN ROAD,-8470662.076,5320018.976,-8470662.076,5320018.976
152,EMERGENCY LEAK,3/10/2022 12:00:00 AM,"1601 Euclid Ave, Syracuse, New York, 13224","1601 Euclid Ave, Syracuse, New York, 13224",-8472386.549,5317361.451,-8472386.549,5317361.451
153,EMERGENCY LEAK,3/9/2022 12:00:00 AM,566 Spencer St.,566 Spencer St.,-8479062.37,5320658.354,-8479062.37,5320658.354
154,EMERGENCY LEAK,3/7/2022 12:00:00 AM,1108 N. TOWNSEND ST SYRACUSE NY,1108 N. TOWNSEND ST SYRACUSE NY,-8477330.059,5321500.155,-8477330.059,5321500.155
155,REPAIR MAIN,3/5/2022 12:00:00 AM,"Schiller Ave & Wadsworth St, Syracuse, New York, 13203",WADSWORTH ST 200,-8475760.804,5322911.278,-8475760.804,5322911.278
156,EMERGENCY LEAK,3/5/2022 12:00:00 AM,"1920 Park St, Syracuse, New York, 13208",1920 PARK ST,-8478644.541,5322816.548,-8478644.541,5322816.548
157,EMERGENCY LEAK,3/5/2022 12:00:00 AM,1601 Euclid Ave.,1601 Euclid Ave.,-8472386.549,5317361.451,-8472386.549,5317361.451
158,EMERGENCY LEAK,3/4/2022 12:00:00 AM,"144 Thurlow Dr,  Syracuse,  New York,  13205","144 Thurlow Dr,  Syracuse,  New York,  13205 Syracuse 13205",-8475531.14411,5311294.57729,-8475531.14411,5311294.57729
159,EMERGENCY LEAK,3/2/2022 12:00:00 AM,"2005 E Fayette St, Syracuse, New York, 13224",E FAYETTE ST 2000,-8472998.015,5319317.457,-8472998.015,5319317.457
160,EMERGENCY LEAK,3/2/2022 12:00:00 AM,"202 S Beech St,  Syracuse,  New York,  13210","202 S Beech St,  Syracuse,  New York,  13210 Syracuse 13210",-8474526.10729,5319429.73807,-8474526.10729,5319429.73807
161,EMERGENCY LEAK,3/1/2022 12:00:00 AM,"213 Croly St Syracuse,  New York,  13224",Across from 213 croly St,-8472821.209,5319228.885,-8472821.209,5319228.885
162,EMERGENCY LEAK,3/1/2022 12:00:00 AM,901 Crawford Ave,901 Crawford Ave,-8472587.224,5316632.706,-8472587.224,5316632.706
163,EMERGENCY LEAK,2/24/2022 12:00:00 AM,"1320 Willis Ave,  Syracuse,  New York,  13204",WILLIS AV 1300,-8482318.387,5321202.607,-8482318.387,5321202.607
164,EMERGENCY LEAK,2/24/2022 12:00:00 AM,1300 E. Colvin St.,1300 E. Colvin St.,-8474519.641,5315557.285,-8474519.641,5315557.285
165,REPAIR MAIN,2/23/2022 12:00:00 AM,325 Goodrich Ave,N/E corner Goodrich Ave @ Thayer,-8474379.452,5314401.219,-8474379.452,5314401.219
166,EMERGENCY LEAK,2/22/2022 12:00:00 AM,103 Otisco St.,On Hydrant Branch,-8477997.102,5319059.916,-8477997.102,5319059.916
167,REPAIR MAIN,2/20/2022 12:00:00 AM,"144 Wellington Pl, Syracuse, New York, 13210",WELLINGTON PL 100,-8475682.161,5319228.448,-8475682.161,5319228.448
168,EMERGENCY LEAK,2/18/2022 12:00:00 AM,"100 Kirkpatrick St, Syracuse, New York, 13208",BASIN ST 200,-8477853.74,5321552.33,-8477853.74,5321552.33
169,EMERGENCY LEAK,2/18/2022 12:00:00 AM,2116-24 E. Fayette St,On Croly St. side of property,-8472821.209,5319228.885,-8472821.209,5319228.885
170,EMERGENCY LEAK,2/17/2022 12:00:00 AM,945 Jamesville Ave,945 Jamesville Ave,-8474684.813,5314618.393,-8474684.813,5314618.393
171,EMERGENCY LEAK,2/17/2022 12:00:00 AM,"1006 JAMSESVILLE AVE Syracuse,  New York,  13210",JAMESVILLE AV 1000,-8474629.593,5314531.182,-8474629.593,5314531.182
172,EMERGENCY LEAK,2/17/2022 12:00:00 AM,1226 E. Water St.,Working on E. Washington St. side of property near driveway entrance,-8474857.112,5319492.314,-8474857.112,5319492.314
173,EMERGENCY LEAK,2/16/2022 12:00:00 AM,"122 Willumae Dr,  Syracuse,  New York,  13208",WORKING ON THE FORDLAND AVE SIDE,-8477113.028,5323671.978,-8477113.028,5323671.978
